index,artist_id,artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
41,0,Angeline Quinto,Sino Ako Sa 'Yo - Minus One,3.69277,5.76977,4.14343,8.06687,4.19708,4.64626,1.04215,2.89733,2.84569,1.37113
42,0,Angeline Quinto,Ikaw Ang Aking Mundo - Minus One,1.55934,5.93624,3.10727,9.30699,1.81569,4.48014,1.06322,6.14249,1.6268,1.37113
43,0,Angeline Quinto,Babalikang Muli - Minus One,7.75904,4.76118,2.87301,7.54711,2.15328,4.81903,1.0431,2.56655,2.69036,1.46392
44,0,Angeline Quinto,Kung Sakali Man - Minus One,1.1753,6.00479,4.52186,8.51368,1.66788,4.73289,1.09579,5.57654,1.65787,1.37113
45,0,Angeline Quinto,Bring Back the Times - Minus One,4.28012,6.59232,4.31463,7.93009,2.17153,5.17081,1.06897,5.57894,2.15127,1.37113
46,0,Angeline Quinto,Patuloy Ang Pangarap,7.4247,5.52497,5.59406,1,1.90693,5.80694,1.0613,5.38935,2.7269,4.61856
47,0,Angeline Quinto,Muling Magmamahal,8.5,4.44783,5.50396,1.00007,1.79745,5.74388,1.07759,6.04219,3.09239,3.96907
48,0,Angeline Quinto,Panghabang Panahon,8.70783,6.00479,4.58493,1.00014,2.0438,5.6584,1.06609,5.11047,4.22538,2.1134
49,0,Angeline Quinto,Wag Mo Akong Iwan Mag Isa,8.70783,3.9778,3.06222,1.00028,2.16241,5.05702,1.10345,5.59475,4.05178,3.96907
50,0,Angeline Quinto,Sana Ngayon Lang Ang Kahapon,8.61747,4.00718,4.93632,1.00014,2.01642,6.09119,1.06226,5.97172,2.56244,3.78351
51,0,Angeline Quinto,Patuloy Ang Pangarap - Alternate Version,6.5753,5.75019,5.70218,1,2.31752,6.13112,1.04119,5.38944,3.75025,3.31959
52,0,Angeline Quinto,Patuloy Ang Pangarap - Brian Cua Club Diva Radio Edit,1.08069,6.54336,8.75661,1,1.34215,8.59655,1.08046,5.2931,4.12487,1.5567
53,0,Angeline Quinto,Patuloy Ang Pangarap - Brian Cua Club Diva Extended Remix,1.00879,6.85671,8.54937,1.00097,3.02007,8.68627,1.09004,5.29512,3.71371,1.46392
54,0,Angeline Quinto,Kunin Mo Na Ang Lahat Sa Akin,9.51205,4.27157,3.14331,1.00146,1.71624,5.00481,1.14464,5.31027,2.91878,5.54639
55,0,Angeline Quinto,You're My Home,9.1506,2.63627,3.78303,1.0015,1.62865,5.49984,1.14847,5.80226,2.74518,3.69072
56,0,Angeline Quinto,Ngayon,8.08434,2.90066,5.31475,1.00082,2.97445,5.94587,1.091,2.8667,2.40711,2.76289
57,0,Angeline Quinto,Mahiwaga,9.61145,2.38168,2.87301,1.00887,1.97993,4.64049,1.18103,2.94202,2.41624,3.13402
58,0,Angeline Quinto,Patuloy Ang Pangarap - Minus One,4.63253,5.28996,4.42275,4.95745,1.90693,4.97143,1.04406,5.39194,2.04162,1.5567
59,0,Angeline Quinto,Muling Magmamahal - Minus One,1.66506,6.09292,4.20651,7.30091,1.79745,4.78205,1.10536,6.04935,1.81868,1.37113
